start,end,count
2020-09-10,2020-09-10,1
2020-09-10,2020-09-10,1
2020-09-10,2020-09-10,1
2020-09-10,2020-09-11,2
2020-09-11,2020-09-11,1
2020-09-11,2020-09-11,1
2020-09-11,2020-09-11,1
2020-09-11,2020-09-11,1
2020-09-11,2020-09-12,2
2020-09-12,2020-09-12,1
2020-09-12,2020-09-12,1
2020-09-12,2020-09-12,1
2020-09-12,2020-09-12,1
2020-09-12,2020-09-12,1
2020-09-12,2020-09-12,1
2020-09-12,2020-09-12,1
2020-09-12,2020-09-13,2
2020-09-13,2020-09-13,1
2020-09-13,2020-09-13,1
2020-09-13,2020-09-13,1
2020-09-13,2020-09-13,1
2020-09-13,2020-09-14,2
2020-09-14,2020-09-14,1
2020-09-14,2020-09-14,1
2020-09-14,2020-09-14,1
2020-09-14,2020-09-14,1
2020-09-14,2020-09-14,1
2020-09-14,2020-09-14,1
2020-09-14,2020-09-15,2
2020-09-15,2020-09-15,1
2020-09-15,2020-09-15,1
2020-09-15,2020-09-15,1
2020-09-15,2020-09-15,1
2020-09-15,2020-09-15,1
2020-09-15,2020-09-15,1
2020-09-15,2020-09-15,1
2020-09-15,2020-09-15,1
2020-09-15,2020-09-16,2
2020-09-16,2020-09-16,1
2020-09-16,2020-09-16,1
2020-09-16,2020-09-16,1
2020-09-16,2020-09-16,1
2020-09-16,2020-09-16,1
2020-09-16,2020-09-16,1
2020-09-16,2020-09-17,2
2020-09-17,2020-09-17,1
2020-09-17,2020-09-17,1
2020-09-17,2020-09-17,1
2020-09-17,2020-09-17,1
2020-09-17,2020-09-17,1
2020-09-17,2020-09-17,1
2020-09-17,2020-09-17,1
2020-09-17,2020-09-17,1
2020-09-17,2020-09-18,2
2020-09-18,2020-09-18,1
2020-09-18,2020-09-18,1
2020-09-18,2020-09-18,1
2020-09-18,2020-09-18,1
2020-09-18,2020-09-18,1
2020-09-18,2020-09-18,1
2020-09-18,2020-09-18,1
2020-09-18,2020-09-18,1
2020-09-18,2020-09-18,1
2020-09-18,2020-09-19,2
2020-09-19,2020-09-19,1
2020-09-19,2020-09-19,1
2020-09-19,2020-09-19,1
2020-09-19,2020-09-19,1
2020-09-19,2020-09-19,1
2020-09-19,2020-09-19,1
2020-09-19,2020-09-19,1
2020-09-19,2020-09-19,1
2020-09-19,2020-09-20,2
2020-09-20,2020-09-20,1
2020-09-20,2020-09-20,1
2020-09-20,2020-09-20,1
2020-09-20,2020-09-20,1
2020-09-20,2020-09-20,1
2020-09-20,2020-09-20,1
2020-09-20,2020-09-21,2
2020-09-21,2020-09-21,1
2020-09-21,2020-09-21,1
2020-09-21,2020-09-21,1
2020-09-21,2020-09-21,1
2020-09-21,2020-09-22,2
2020-09-22,2020-09-22,1
2020-09-22,2020-09-22,1
2020-09-22,2020-09-22,1
2020-09-22,2020-09-22,1
2020-09-22,2020-09-23,2
2020-09-23,2020-09-23,1
2020-09-23,2020-09-23,1
2020-09-23,2020-09-23,1
2020-09-23,2020-09-23,1
2020-09-23,2020-09-23,1
2020-09-23,2020-09-23,1
2020-09-23,2020-09-24,2
2020-09-24,2020-09-24,1
2020-09-24,2020-09-24,1
2020-09-24,2020-09-24,1
2020-09-24,2020-09-24,1
2020-09-24,2020-09-24,1
2020-09-24,2020-09-24,1
2020-09-24,2020-09-25,2
2020-09-25,2020-09-25,1
2020-09-25,2020-09-25,1
2020-09-25,2020-09-25,1
2020-09-25,2020-09-25,1
2020-09-25,2020-09-26,2
2020-09-26,2020-09-26,1
2020-09-26,2020-09-26,1
2020-09-26,2020-09-27,2
2020-09-27,2020-09-27,1
2020-09-27,2020-09-27,1
2020-09-27,2020-09-28,2
2020-09-28,2020-09-28,1
2020-09-28,2020-09-28,1
2020-09-28,2020-09-28,1
2020-09-28,2020-09-28,1
2020-09-28,2020-09-28,1
2020-09-28,2020-09-28,1
2020-09-28,2020-09-29,2
2020-09-29,2020-09-29,1
2020-09-29,2020-09-29,1
2020-09-29,2020-09-29,1
2020-09-29,2020-09-29,1
2020-09-29,2020-09-29,1
2020-09-29,2020-09-29,1
2020-09-29,2020-09-29,1
2020-09-29,2020-09-29,1
2020-09-29,2020-09-30,2
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-09-30,1
2020-09-30,2020-10-01,2
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-01,1
2020-10-01,2020-10-02,2
2020-10-02,2020-10-02,1
2020-10-02,2020-10-02,1
2020-10-02,2020-10-02,1
2020-10-02,2020-10-02,1
2020-10-02,2020-10-02,1
2020-10-02,2020-10-02,1
2020-10-02,2020-10-02,1
2020-10-02,2020-10-02,1
2020-10-02,2020-10-02,1
2020-10-02,2020-10-03,2
2020-10-03,2020-10-03,1
2020-10-03,2020-10-03,1
2020-10-03,2020-10-03,1
2020-10-03,2020-10-03,1
2020-10-03,2020-10-03,1
2020-10-03,2020-10-03,1
2020-10-03,2020-10-03,1
2020-10-03,2020-10-03,1
2020-10-03,2020-10-04,2
2020-10-04,2020-10-04,1
2020-10-04,2020-10-04,1
2020-10-04,2020-10-04,1
2020-10-04,2020-10-04,1
2020-10-04,2020-10-04,1
2020-10-04,2020-10-04,1
2020-10-04,2020-10-04,1
2020-10-04,2020-10-05,2
2020-10-05,2020-10-05,1
2020-10-05,2020-10-05,1
2020-10-05,2020-10-05,1
2020-10-05,2020-10-05,1
2020-10-05,2020-10-05,1
2020-10-05,2020-10-05,1
2020-10-05,2020-10-05,1
2020-10-05,2020-10-05,1
2020-10-05,2020-10-06,2
2020-10-06,2020-10-06,1
2020-10-06,2020-10-06,1
2020-10-06,2020-10-06,1
2020-10-06,2020-10-06,1
2020-10-06,2020-10-06,1
2020-10-06,2020-10-06,1
2020-10-06,2020-10-07,2
2020-10-07,2020-10-07,1
2020-10-07,2020-10-07,1
2020-10-07,2020-10-07,1
2020-10-07,2020-10-07,1
2020-10-07,2020-10-07,1
2020-10-07,2020-10-12,6
2020-10-12,2020-10-12,1
2020-10-12,2020-10-12,1
2020-10-12,2020-10-12,1
2020-10-12,2020-10-12,1
2020-10-12,2020-10-12,1
2020-10-12,2020-10-13,2
2020-10-13,2020-10-13,1
2020-10-13,2020-10-13,1
2020-10-13,2020-10-13,1
2020-10-13,2020-10-13,1
2020-10-13,2020-10-13,1
2020-10-13,2020-10-13,1
2020-10-13,2020-10-13,1
2020-10-13,2020-10-14,2
2020-10-14,2020-10-14,1
2020-10-14,2020-10-14,1
2020-10-14,2020-10-14,1
2020-10-14,2020-10-14,1
2020-10-14,2020-10-14,1
2020-10-14,2020-10-14,1
2020-10-14,2020-10-14,1
2020-10-14,2020-10-15,2
2020-10-15,2020-10-15,1
2020-10-15,2020-10-15,1
2020-10-15,2020-10-15,1
2020-10-15,2020-10-15,1
2020-10-15,2020-10-15,1
2020-10-15,2020-10-15,1
2020-10-15,2020-10-15,1
2020-10-15,2020-10-15,1
2020-10-15,2020-10-16,2
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-16,1
2020-10-16,2020-10-17,2
2020-10-17,2020-10-17,1
2020-10-17,2020-10-17,1
2020-10-17,2020-10-17,1
2020-10-17,2020-10-17,1
2020-10-17,2020-10-17,1
2020-10-17,2020-10-17,1
2020-10-17,2020-10-17,1
2020-10-17,2020-10-18,2
2020-10-18,2020-10-18,1
2020-10-18,2020-10-18,1
2020-10-18,2020-10-29,12
2020-10-29,2020-10-29,1
2020-10-29,2020-10-29,1
2020-10-29,2020-10-29,1
2020-10-29,2020-10-30,2
2020-10-30,2020-10-30,1
2020-10-30,2020-10-30,1
2020-10-30,2020-10-30,1
2020-10-30,2020-10-31,2
2020-10-31,2020-10-31,1
2020-10-31,2020-10-31,1
2020-10-31,2020-10-31,1
2020-10-31,2020-10-31,1
2020-10-31,2020-11-01,2
2020-11-01,2020-11-01,1
2020-11-01,2020-11-01,1
2020-11-01,2020-11-01,1
2020-11-01,2020-11-01,1
2020-11-01,2020-11-01,1
2020-11-01,2020-11-02,2
2020-11-02,2020-11-04,3
2020-11-04,2020-11-04,1
2020-11-04,2020-11-04,1
2020-11-04,2020-11-04,1
2020-11-04,2020-11-04,1
2020-11-04,2020-11-05,2
2020-11-05,2020-11-05,1
2020-11-05,2020-11-05,1
2020-11-05,2020-11-05,1
2020-11-05,2020-11-05,1
2020-11-05,2020-11-05,1
2020-11-05,2020-11-15,11
2020-11-15,2020-11-15,1
2020-11-15,2020-11-15,1
2020-11-15,2020-11-16,2
2020-11-16,2020-11-16,1
2020-11-16,2020-11-16,1
2020-11-16,2020-11-16,1
2020-11-16,2020-11-16,1
2020-11-16,2021-01-15,61
2021-01-15,2021-01-15,1
2021-01-15,2021-01-15,1
2021-01-15,2021-01-15,1
2021-01-15,2021-01-15,1
2021-01-15,2021-01-16,2
2021-01-16,2021-01-16,1
2021-01-16,2021-02-04,20
2021-02-04,2021-02-04,1
2021-02-04,2021-03-28,53
2021-03-28,2021-03-28,1
2021-03-28,2021-03-28,1
2021-03-28,2021-03-29,2
2021-03-29,2021-04-14,17
2021-04-14,2021-04-15,2
2021-04-15,2021-04-15,1
2021-04-15,2021-04-19,5
2021-04-19,2021-04-19,1
2021-04-19,2021-04-19,1
2021-04-19,2021-04-19,1
2021-04-19,2021-04-28,10
2021-04-28,2021-04-29,2
2021-04-29,2021-04-29,1
2021-04-29,2021-04-29,1
2021-04-29,2021-04-29,1
2021-04-29,2021-04-29,1
2021-04-29,2021-04-29,1
2021-04-29,2021-04-29,1
2021-04-29,2021-04-30,2
2021-04-30,2021-04-30,1
2021-04-30,2021-04-30,1
2021-04-30,2021-04-30,1
2021-04-30,2021-04-30,1
2021-04-30,2021-04-30,1
2021-04-30,2021-04-30,1
2021-04-30,2021-04-30,1
2021-04-30,2021-05-01,2
2021-05-01,2021-05-04,4
2021-05-04,2021-05-04,1
2021-05-04,2021-05-04,1
2021-05-04,2021-05-04,1
2021-05-04,2021-05-04,1
2021-05-04,2021-05-05,2
2021-05-05,2021-05-05,1
2021-05-05,2021-05-05,1
2021-05-05,2021-05-05,1
2021-05-05,2021-05-05,1
2021-05-05,2021-05-05,1
2021-05-05,2021-05-24,20
2021-05-24,2021-05-24,1
2021-05-24,2021-05-24,1
2021-05-24,2021-05-24,1
2021-05-24,2021-05-24,1
2021-05-24,2021-05-24,1
2021-05-24,2021-05-25,2
2021-05-25,2021-05-25,1
2021-05-25,2021-05-25,1
2021-05-25,2021-05-25,1
2021-05-25,2021-05-25,1
2021-05-25,2021-05-25,1
2021-05-25,2021-05-25,1
2021-05-25,2021-06-01,8
2021-06-01,2021-06-01,1
2021-06-01,2021-06-01,1
2021-06-01,2021-06-01,1
2021-06-01,2021-06-02,2
2021-06-02,2021-06-02,1
2021-06-02,2021-06-02,1
2021-06-02,2021-06-02,1
2021-06-02,2021-06-02,1
2021-06-02,2021-06-03,2
2021-06-03,2021-06-03,1
2021-06-03,2021-06-03,1
2021-06-03,2021-06-03,1
2021-06-03,2021-06-04,2
2021-06-04,2021-06-04,1
2021-06-04,2021-06-04,1
2021-06-04,2021-06-04,1
2021-06-04,2021-06-11,8
2021-06-11,2021-06-11,1
2021-06-11,2021-06-11,1
2021-06-11,2021-06-12,2
2021-06-12,2021-06-12,1
2021-06-12,2021-06-12,1
2021-06-12,2021-06-12,1
2021-06-12,2021-06-12,1
2021-06-12,2021-06-12,1
2021-06-12,2021-06-13,2
2021-06-13,2021-06-13,1
2021-06-13,2021-06-13,1
2021-06-13,2021-06-13,1
2021-06-13,2021-06-13,1
2021-06-13,2021-06-13,1
2021-06-13,2021-06-13,1
2021-06-13,2021-06-14,2
2021-06-14,2021-06-14,1
2021-06-14,2021-06-14,1
2021-06-14,2021-06-14,1
2021-06-14,2021-06-14,1
2021-06-14,2021-06-14,1
2021-06-14,2021-06-14,1
2021-06-14,2021-06-14,1
2021-06-14,2021-06-15,2
2021-06-15,2021-06-15,1
2021-06-15,2021-06-15,1
2021-06-15,2021-06-15,1
2021-06-15,2021-06-15,1
2021-06-15,2021-06-15,1
2021-06-15,2021-06-15,1
2021-06-15,2021-06-15,1
2021-06-15,2021-06-15,1
2021-06-15,2021-06-15,1
2021-06-15,2021-06-16,2
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-16,1
2021-06-16,2021-06-17,2
2021-06-17,2021-06-17,1
2021-06-17,2021-06-17,1
2021-06-17,2021-06-17,1
2021-06-17,2021-06-17,1
2021-06-17,2021-06-17,1
2021-06-17,2021-06-17,1
2021-06-17,2021-06-17,1
2021-06-17,2021-06-18,2
2021-06-18,2021-06-18,1
2021-06-18,2021-06-18,1
2021-06-18,2021-06-18,1
2021-06-18,2021-06-18,1
2021-06-18,2021-06-18,1
2021-06-18,2021-06-18,1
2021-06-18,2021-06-19,2
2021-06-19,2021-06-19,1
2021-06-19,2021-06-19,1
2021-06-19,2021-06-19,1
2021-06-19,2021-06-19,1
2021-06-19,2021-06-19,1
2021-06-19,2021-06-20,2
2021-06-20,2021-06-20,1
2021-06-20,2021-06-20,1
2021-06-20,2021-06-20,1
2021-06-20,2021-06-20,1
2021-06-20,2021-06-20,1
2021-06-20,2021-06-21,2
2021-06-21,2021-06-21,1
2021-06-21,2021-06-21,1
2021-06-21,2021-06-21,1
2021-06-21,2021-06-21,1
2021-06-21,2021-06-22,2
2021-06-22,2021-06-22,1
2021-06-22,2021-06-22,1
2021-06-22,2021-06-22,1
2021-06-22,2021-06-22,1
2021-06-22,2021-06-22,1
2021-06-22,2021-06-23,2
2021-06-23,2021-06-23,1
2021-06-23,2021-06-23,1
2021-06-23,2021-06-23,1
2021-06-23,2021-06-23,1
2021-06-23,2021-06-23,1
2021-06-23,2021-06-23,1
2021-06-23,2021-06-23,1
2021-06-23,2021-06-23,1
2021-06-23,2021-06-24,2
2021-06-24,2021-06-24,1
2021-06-24,2021-06-24,1
2021-06-24,2021-06-25,2
2021-06-25,2021-06-25,1
2021-06-25,2021-06-25,1
2021-06-25,2021-06-26,2
2021-06-26,2021-06-26,1
2021-06-26,2021-06-26,1
2021-06-26,2021-06-26,1
2021-06-26,2021-06-26,1
2021-06-26,2021-06-26,1
2021-06-26,2021-06-27,2
2021-06-27,2021-06-27,1
2021-06-27,2021-06-27,1
2021-06-27,2021-06-27,1
2021-06-27,2021-06-27,1
2021-06-27,2021-06-27,1
2021-06-27,2021-06-27,1
2021-06-27,2021-06-27,1
2021-06-27,2021-06-28,2
2021-06-28,2021-06-28,1
2021-06-28,2021-06-28,1
2021-06-28,2021-06-28,1
2021-06-28,2021-06-28,1
2021-06-28,2021-06-28,1
2021-06-28,2021-06-28,1
2021-06-28,2021-06-28,1
2021-06-28,2021-06-29,2
2021-06-29,2021-06-29,1
2021-06-29,2021-06-29,1
2021-06-29,2021-06-29,1
2021-06-29,2021-06-30,2
2021-06-30,2021-06-30,1
2021-06-30,2021-06-30,1
2021-06-30,2021-06-30,1
2021-06-30,2021-06-30,1
2021-06-30,2021-07-01,2
2021-07-01,2021-07-01,1
2021-07-01,2021-07-01,1
2021-07-01,2021-07-01,1
2021-07-01,2021-07-01,1
2021-07-01,2021-07-02,2
2021-07-02,2021-07-02,1
2021-07-02,2021-07-02,1
2021-07-02,2021-07-02,1
2021-07-02,2021-07-02,1
2021-07-02,2021-07-02,1
2021-07-02,2021-07-02,1
2021-07-02,2021-07-02,1
2021-07-02,2021-07-03,2
2021-07-03,2021-07-03,1
2021-07-03,2021-07-03,1
2021-07-03,2021-07-03,1
2021-07-03,2021-07-03,1
2021-07-03,2021-07-03,1
2021-07-03,2021-07-03,1
2021-07-03,2021-07-04,2
2021-07-04,2021-07-04,1
2021-07-04,2021-07-04,1
2021-07-04,2021-07-04,1
2021-07-04,2021-07-04,1
2021-07-04,2021-07-04,1
2021-07-04,2021-07-05,2
2021-07-05,2021-07-05,1
2021-07-05,2021-07-05,1
2021-07-05,2021-07-05,1
2021-07-05,2021-07-05,1
2021-07-05,2021-07-05,1
2021-07-05,2021-07-06,2
2021-07-06,2021-07-06,1
2021-07-06,2021-07-06,1
2021-07-06,2021-07-06,1
2021-07-06,2021-07-06,1
2021-07-06,2021-07-06,1
2021-07-06,2021-07-06,1
2021-07-06,2021-07-07,2
2021-07-07,2021-07-07,1
2021-07-07,2021-07-07,1
2021-07-07,2021-07-07,1
2021-07-07,2021-07-07,1
2021-07-07,2021-07-07,1
2021-07-07,2021-07-07,1
2021-07-07,2021-07-07,1
2021-07-07,2021-07-08,2
2021-07-08,2021-07-08,1
2021-07-08,2021-07-08,1
2021-07-08,2021-07-08,1
2021-07-08,2021-07-08,1
2021-07-08,2021-07-08,1
2021-07-08,2021-07-08,1
2021-07-08,2021-07-08,1
2021-07-08,2021-07-09,2
2021-07-09,2021-07-09,1
2021-07-09,2021-07-09,1
2021-07-09,2021-07-09,1
2021-07-09,2021-07-09,1
2021-07-09,2021-07-09,1
2021-07-09,2021-07-09,1
2021-07-09,2021-07-09,1
2021-07-09,2021-07-10,2
2021-07-10,2021-07-10,1
2021-07-10,2021-07-10,1
2021-07-10,2021-07-10,1
2021-07-10,2021-07-10,1
2021-07-10,2021-07-10,1
2021-07-10,2021-07-10,1
2021-07-10,2021-07-10,1
2021-07-10,2021-07-10,1
2021-07-10,2021-07-10,1
2021-07-10,2021-07-11,2
2021-07-11,2021-07-11,1
2021-07-11,2021-07-11,1
2021-07-11,2021-07-11,1
2021-07-11,2021-07-11,1
2021-07-11,2021-07-11,1
2021-07-11,2021-07-11,1
2021-07-11,2021-07-11,1
2021-07-11,2021-07-12,2
2021-07-12,2021-07-12,1
2021-07-12,2021-07-12,1
2021-07-12,2021-07-12,1
2021-07-12,2021-07-12,1
2021-07-12,2021-07-12,1
2021-07-12,2021-07-13,2
2021-07-13,2021-07-13,1
2021-07-13,2021-07-13,1
2021-07-13,2021-07-13,1
2021-07-13,2021-07-13,1
2021-07-13,2021-07-13,1
2021-07-13,2021-07-13,1
2021-07-13,2021-07-14,2
2021-07-14,2021-07-14,1
2021-07-14,2021-07-14,1
2021-07-14,2021-07-14,1
2021-07-14,2021-07-14,1
2021-07-14,2021-07-14,1
2021-07-14,2021-07-14,1
2021-07-14,2021-07-14,1
2021-07-14,2021-07-14,1
2021-07-14,2021-07-15,2
2021-07-15,2021-07-15,1
2021-07-15,2021-07-15,1
2021-07-15,2021-07-15,1
2021-07-15,2021-07-15,1
2021-07-15,2021-07-15,1
2021-07-15,2021-07-15,1
2021-07-15,2021-07-16,2
2021-07-16,2021-07-16,1
2021-07-16,2021-07-16,1
2021-07-16,2021-07-16,1
2021-07-16,2021-07-16,1
2021-07-16,2021-07-16,1
2021-07-16,2021-07-16,1
2021-07-16,2021-07-16,1
2021-07-16,2021-07-17,2
2021-07-17,2021-07-17,1
2021-07-17,2021-07-17,1
2021-07-17,2021-07-17,1
2021-07-17,2021-07-17,1
2021-07-17,2021-07-17,1
2021-07-17,2021-07-17,1
2021-07-17,2021-07-17,1
2021-07-17,2021-07-18,2
2021-07-18,2021-07-18,1
2021-07-18,2021-07-18,1
2021-07-18,2021-07-18,1
2021-07-18,2021-07-18,1
2021-07-18,2021-07-18,1
2021-07-18,2021-07-18,1
2021-07-18,2021-07-18,1
2021-07-18,2021-07-19,2
2021-07-19,2021-07-19,1
2021-07-19,2021-07-19,1
2021-07-19,2021-07-19,1
2021-07-19,2021-07-19,1
2021-07-19,2021-07-19,1
2021-07-19,2021-07-19,1
2021-07-19,2021-07-19,1
2021-07-19,2021-07-19,1
2021-07-19,2021-07-20,2
2021-07-20,2021-07-20,1
2021-07-20,2021-07-20,1
2021-07-20,2021-07-20,1
2021-07-20,2021-07-20,1
2021-07-20,2021-07-20,1
2021-07-20,2021-07-20,1
2021-07-20,2021-07-20,1
2021-07-20,2021-07-20,1
2021-07-20,2021-07-21,2
2021-07-21,2021-07-21,1
2021-07-21,2021-07-21,1
2021-07-21,2021-07-21,1
2021-07-21,2021-07-21,1
2021-07-21,2021-07-21,1
2021-07-21,2021-07-21,1
2021-07-21,2021-07-21,1
2021-07-21,2021-07-21,1
2021-07-21,2021-07-22,2
2021-07-22,2021-07-22,1
2021-07-22,2021-07-22,1
2021-07-22,2021-07-22,1
2021-07-22,2021-07-22,1
2021-07-22,2021-07-22,1
2021-07-22,2021-07-22,1
2021-07-22,2021-07-22,1
2021-07-22,2021-07-23,2
2021-07-23,2021-07-23,1
2021-07-23,2021-07-23,1
2021-07-23,2021-07-23,1
2021-07-23,2021-07-23,1
2021-07-23,2021-07-23,1
2021-07-23,2021-07-23,1
2021-07-23,2021-07-24,2
2021-07-24,2021-07-24,1
2021-07-24,2021-07-24,1
2021-07-24,2021-07-24,1
2021-07-24,2021-07-24,1
2021-07-24,2021-07-25,2
2021-07-25,2021-07-25,1
2021-07-25,2021-07-25,1
2021-07-25,2021-07-26,2
2021-07-26,2021-07-26,1
2021-07-26,2021-07-27,2
2021-07-27,2021-07-27,1
2021-07-27,2021-07-27,1
2021-07-27,2021-07-27,1
2021-07-27,2021-07-27,1
2021-07-27,2021-07-27,1
2021-07-27,2021-07-28,2
2021-07-28,2021-07-28,1
2021-07-28,2021-07-28,1
2021-07-28,2021-07-28,1
2021-07-28,2021-07-28,1
2021-07-28,2021-07-28,1
2021-07-28,2021-07-28,1
2021-07-28,2021-07-28,1
2021-07-28,2021-07-28,1
2021-07-28,2021-07-29,2
2021-07-29,2021-07-29,1
2021-07-29,2021-07-29,1
2021-07-29,2021-07-29,1
2021-07-29,2021-07-29,1
2021-07-29,2021-07-29,1
